date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:03:23	132/132	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jul%202016%2012:03:23%20GMT	http://www.benzthanachart.com/robots.txt		(from )
08:03:24	21587/21587	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202016%2012:03:24%20GMT	http://www.benzthanachart.com/	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/index.html	(from )
08:03:26	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2009%20Jul%202016%2012:03:26%20GMT	http://www.benzthanachart.com/xmlrpc.php	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/xmlrpc.php	(from http://www.benzthanachart.com/)
08:03:26	46452/46452	---MCZ	200	added ('OK')	text/css	date:Sat,%2004%20Jan%202014%2022:41:01%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/style.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/stylec1f9.css	(from http://www.benzthanachart.com/)
08:03:26	3043/3043	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/css/gallery.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/css/galleryc1f9.css	(from http://www.benzthanachart.com/)
08:03:27	8852/8852	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/js/fancybox/jquery.fancybox-1.3.4.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/js/fancybox/jquery.fancybox-1.3.4c1f9.css	(from http://www.benzthanachart.com/)
08:03:27	3561/3561	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/css/menu/superfish.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/css/menu/superfishc1f9.css	(from http://www.benzthanachart.com/)
08:03:27	3476/3476	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/css/pagenavi.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/css/pagenavic1f9.css	(from http://www.benzthanachart.com/)
08:03:28	57204/57204	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202016%2002:14:53%20GMT	http://www.benzthanachart.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.9.4	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/plugins/jetpack/css/jetpackf3c8.css	(from http://www.benzthanachart.com/)
08:03:28	830/830	---MC-	200	added ('OK')	application/rss+xml	etag:%22bf9ebc38f9048f8060b16027f5cfda4c%22	http://www.benzthanachart.com/feed/	//Mac/Home/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/feed/index.html	(from http://www.benzthanachart.com/)
